States,district,district_cases,recovered,deceased,tested,vaccinated1,vaccinated2
MP,Shajapur,6349,6273,74,56805,620316,278912
MP,Sheopur,4000,3919,78,31449,413195,140296
MP,Shivpuri,12398,12261,125,47270,1109976,391707
MP,Sidhi,9219,9132,87,4660,679862,226632
MP,Singrauli,8801,8706,82,0,740335,224966
MP,Tikamgarh,6863,6742,114,43011,919592,293885
MP,Ujjain,18903,18720,172,31631,1452247,836514
MP,Umaria,6294,6224,63,54811,455492,196492
MP,Unknown,1416,1632,1493,0,0,0
MP,Vidisha,11922,11677,237,65935,975291,349024
MZ,Aizawl,75111,71337,300,0,315706,239593
MZ,Champhai,5188,4745,11,0,74122,55251
MZ,Hnahthial,1020,857,3,0,0,0
MZ,Khawzawl,733,688,0,0,0,0
MZ,Kolasib,7721,7561,30,0,50525,33101
MZ,Lawngtlai,6740,6553,23,0,55877,25870
MZ,Lunglei,9842,9053,27,0,95129,73298
MZ,Mamit,4854,4448,12,0,43678,28873
MZ,Saiha,5469,5304,14,0,34626,19984
MZ,Saitual,471,420,2,0,0,0
MZ,Serchhip,4210,3646,10,0,41932,36047
NL,Dimapur,14684,13471,421,47020,268405,175502
NL,Kiphire,258,246,9,1002,13017,8141
NL,Kohima,9461,9095,123,33986,105758,82602
NL,Longleng,307,286,2,1193,20577,15446
NL,Mokokchung,2333,2186,54,3976,69198,54730
NL,Mon,1159,1124,14,12278,70054,48331
NL,Peren,920,897,6,5717,19956,12514
NL,Phek,601,568,18,2779,31241,20746
NL,Tuensang,1094,1077,12,4887,38130,26725
NL,Wokha,402,361,11,1390,35138,23577
NL,Zunheboto,623,593,15,2131,38077,22337
OR,Angul,43920,43506,393,172873,786278,291800
OR,Balangir,23397,23257,126,87867,960786,299153
OR,Balasore,40787,40389,299,9843,1351099,534318
OR,Bargarh,31126,30762,335,0,829092,283966
OR,Bhadrak,26480,26260,150,258173,1026493,367945
OR,Boudh,12634,12488,112,496,259325,92297
OR,Cuttack,94631,93404,857,5720,1434524,702278
OR,Deogarh,6553,6460,50,682,223405,63727
OR,Dhenkanal,19871,19598,243,179477,738406,282859
OR,Gajapati,9657,9555,84,715,288963,115535
OR,Ganjam,33849,33342,485,750442,2214981,1698328
OR,Jagatsinghpur,27920,27510,316,46648,677675,272499
OR,Jajpur,43735,43461,172,53956,1087735,383313
OR,Jharsuguda,23863,23673,176,1663,399523,189682
OR,Kalahandi,24314,24082,210,1458,921185,304778
OR,Kandhamal,11537,11453,83,1516,384009,150737
OR,Kendrapara,24860,24545,252,382732,916169,347854
OR,Kendujhar,20980,20798,175,474504,1087285,376311
OR,Khordha,175335,171938,1552,0,2063646,1502538
OR,Koraput,19137,19044,78,1401,860773,399063
OR,Malkangiri,11667,11613,49,1841,391790,137925
OR,Mayurbhanj,40844,40416,286,3307,1222153,413698
OR,Nabarangapur,23549,23461,86,162154,675601,188457
OR,Nayagarh,23505,23261,212,1104,593612,222606
OR,Nuapada,22924,22803,84,310,402248,129685
OR,Puri,45431,44903,459,173340,1078666,523160
OR,Rayagada,20224,19981,167,578,549767,184420
OR,Sambalpur,31651,31315,240,2007,768989,418110
OR,State Pool,32048,31587,0,0,0,0
OR,Subarnapur,13187,13115,61,0,418336,192102
OR,Sundargarh,61841,61167,594,0,1122762,490428
PB,Amritsar,47379,45757,1598,89227,1263073,446487
PB,Barnala,5950,5696,244,63447,328464,104197
PB,Bathinda,41728,40668,1042,118489,623604,202311
PB,Faridkot,13927,13602,315,23635,330654,128653
PB,Fatehgarh Sahib,8876,8538,335,68436,354921,135247
PB,Fazilka,20271,19729,528,63589,490080,131519
PB,Ferozepur,14347,13832,504,74880,476343,128043
PB,Gurdaspur,22381,21576,801,249039,862133,415351
PB,Hoshiarpur,30822,29828,986,221261,1000636,574716
PB,Jalandhar,63396,61864,1496,443735,1433553,681370
PB,Kapurthala,17852,17294,556,38658,465285,187476
PB,Ludhiana,87608,85484,2106,514691,2473646,943401
PB,Mansa,15606,15226,380,26878,372366,89830
PB,Moga,8675,8440,233,77307,541556,178908
PB,Pathankot,18814,18373,419,29112,424889,196822
PB,Patiala,48927,47561,1358,273344,1051467,396473
PB,Rupnagar,12963,12517,423,97745,384637,182919
PB,S.A.S. Nagar,68821,67726,1068,41532,872096,402212
PB,Sangrur,15762,14884,875,166332,730511,218820
PB,Shahid Bhagat Singh Nagar,11469,11080,388,77715,392113,172294
PB,Sri Muktsar Sahib,18784,18257,524,67979,473193,142901
PB,Tarn Taran,8043,7659,380,111446,597303,178839
PY,Karaikal,16488,16150,250,73142,111152,57491
PY,Mahe,5867,5744,47,42415,34018,25943
PY,Puducherry,98885,97171,1453,425639,558708,305464
PY,Yanam,6773,6661,107,26727,30079,15489
RJ,Ajmer,37769,37352,410,261215,1752308,1042482
RJ,Alwar,59694,59387,307,291879,2237787,1029095
RJ,BSF Camp,85,85,0,0,0,0
RJ,Banswara,10005,9901,104,48781,1024293,525793
RJ,Baran,11996,11934,61,46168,763006,297741
RJ,Barmer,15563,15377,185,113868,1455732,621465
RJ,Bharatpur,19601,19341,260,201441,1351114,590401
RJ,Bhilwara,29781,29625,156,148764,1525323,723691
RJ,Bikaner,40339,39792,545,278302,1461174,714590
RJ,Bundi,7967,7919,48,58167,709316,362835
RJ,Chittorgarh,19809,19670,139,116002,978713,482350
RJ,Churu,16720,16613,107,131700,1301558,582443
RJ,Dausa,13351,13289,62,61680,941513,395584
RJ,Dholpur,11010,10962,48,121308,660103,279501
RJ,Dungarpur,18407,18276,131,121917,737200,349762
RJ,Evacuees,61,61,0,0,0,0
RJ,Ganganagar,19354,19203,150,80706,1278952,525137
RJ,Hanumangarh,16053,15942,111,82542,1230511,588688
RJ,Italians,2,2,0,0,0,0
RJ,Jaipur,187804,185816,1970,968783,4582410,2189042
RJ,Jaisalmer,13639,13573,66,80082,416014,194163
RJ,Jalore,10067,9995,72,184172,987519,393953
RJ,Jhalawar,13612,13425,187,97163,922646,363082
RJ,Jhunjhunu,14811,14653,158,123433,1449967,787196
RJ,Jodhpur,112412,111308,1103,600959,2263325,1036743
RJ,Karauli,7156,7086,70,64481,813922,395700
RJ,Kota,57053,56603,449,355509,1269245,655588
RJ,Nagaur,17737,17560,177,229822,2077555,1016874
RJ,Other State,189,150,39,0,0,0
RJ,Pali,27324,27037,287,179463,1200554,513058
RJ,Pratapgarh,7143,7080,63,52208,655140,345189
RJ,Rajsamand,17044,16875,169,91975,691497,299553
RJ,Sawai Madhopur,10618,10557,61,84683,756544,347992
RJ,Sikar,30618,30283,335,165042,1838263,821713
RJ,Sirohi,13732,13653,79,84616,610090,348789
RJ,Tonk,9498,9406,92,74225,884688,419023
RJ,Udaipur,56405,55652,753,251522,1715072,854773
SK,East Sikkim,0,0,0,0,263526,229361
SK,North Sikkim,0,0,0,0,33137,27820
SK,South Sikkim,0,0,0,0,121481,105432
SK,Unknown,31979,31063,396,0,0,0
SK,West Sikkim,0,0,0,0,103619,88896
TG,Adilabad,0,0,0,0,376263,89337
TG,Bhadradri Kothagudem,0,0,0,0,599183,204318
TG,Hyderabad,0,0,0,0,3150245,1893217
TG,Jagtial,0,0,0,0,580926,190526
TG,Jangaon,0,0,0,0,327527,128207
TG,Jayashankar Bhupalapally,0,0,0,0,262313,127108
TG,Jogulamba Gadwal,0,0,0,0,306919,59886
TG,Kamareddy,0,0,0,0,557684,183176
TG,Karimnagar,0,0,0,0,657167,384862
TG,Khammam,0,0,0,0,856707,333812
TG,Komaram Bheem,0,0,0,0,275644,51593
TG,Mahabubabad,0,0,0,0,468199,172007
TG,Mahabubnagar,0,0,0,0,482547,150640
TG,Mancherial,0,0,0,0,480069,170258
TG,Medak,0,0,0,0,458648,140778
TG,Medchal Malkajgiri,0,0,0,0,2149958,1317832
TG,Mulugu,0,0,0,0,186104,76648
TG,Nagarkurnool,0,0,0,0,464888,106589
TG,Nalgonda,0,0,0,0,891308,254218
TG,Narayanpet,0,0,0,0,288388,50219
TG,Nirmal,0,0,0,0,378315,130107
TG,Nizamabad,0,0,0,0,858574,250862
TG,Peddapalli,0,0,0,0,463510,201940
TG,Rajanna Sircilla,0,0,0,0,372065,144680
TG,Ranga Reddy,0,0,0,0,2348542,1291404
TG,Sangareddy,0,0,0,0,851395,299316
TG,Siddipet,0,0,0,0,582450,242462
TG,Suryapet,0,0,0,0,610724,208278
TG,Unknown,671463,663498,3956,0,0,0
TG,Vikarabad,0,0,0,0,427669,87989
TG,Wanaparthy,0,0,0,0,289412,81870
TG,Warangal Rural,0,0,0,0,342881,105289
TG,Warangal Urban,0,0,0,0,687410,418947
TG,Yadadri Bhuvanagiri,0,0,0,0,463854,223506
TN,Airport Quarantine,2113,2107,2,0,0,0
TN,Ariyalur,16854,16548,261,18285,475390,157166
TN,Chengalpattu,171777,168327,2506,51771,1337641,604784
TN,Chennai,554672,544701,8546,2667777,4532809,2671294
TN,Coimbatore,246780,243070,2416,102107,2717202,1205484
TN,Cuddalore,64085,62997,867,36434,1529591,646400
TN,Dharmapuri,28425,27957,274,163803,770955,279901
TN,Dindigul,33099,32348,645,27800,1236504,493453
TN,Erode,104303,102836,686,66240,1370925,552624
TN,Kallakurichi,31364,31056,210,28314,696213,299822
TN,Kancheepuram,74970,73386,1258,37505,663206,250181
TN,Kanyakumari,62362,61112,1048,79600,1100888,450620
TN,Karur,24091,23523,356,17190,626136,289120
TN,Krishnagiri,43570,43036,348,14284,1040491,407695
TN,Madurai,75215,73853,1172,97279,1500331,583138
TN,Mayiladuthurai,23280,22878,316,0,0,0
TN,Nagapattinam,21074,20561,346,20984,813495,289588
TN,Namakkal,52245,51253,498,24758,987830,397079
TN,Nilgiris,33566,33164,212,45839,501986,343811
TN,Perambalur,12067,11790,243,7981,326872,136491
TN,Pudukkottai,30183,29627,416,20835,827320,314780
TN,Railway Quarantine,428,428,0,0,0,0
TN,Ramanathapuram,20564,20158,357,23389,660673,280037
TN,Ranipet,43436,42557,775,20118,557267,174051
TN,Salem,99893,97619,1685,79660,1925084,791376
TN,Sivaganga,20195,19854,206,25824,726010,287468
TN,Tenkasi,27357,26834,484,26338,736882,233177
TN,Thanjavur,75352,73874,972,67445,1224986,486660
TN,Theni,43571,43018,521,45839,660187,304832
TN,Thiruvallur,119370,117138,1842,67948,1425728,563426
TN,Thiruvarur,41461,40760,442,67445,630274,246969
TN,Thoothukkudi,56304,55757,409,49288,984706,328797
TN,Tiruchirappalli,77534,76038,1059,92586,1468456,636356
TN,Tirunelveli,49374,48812,432,54208,815687,275985
TN,Tirupathur,29301,28600,625,23998,541496,205219
TN,Tiruppur,95405,93683,979,36301,1671392,611015
TN,Tiruvannamalai,54968,54122,667,76170,1270049,533376
TN,Vellore,49864,48564,1131,47936,763735,336366
TN,Viluppuram,45857,45382,356,52064,1085842,444502
TN,Virudhunagar,46294,45687,548,28620,1072788,505098
TR,Dhalai,7037,7000,35,61582,258334,164654
TR,Gomati,8134,8043,74,47437,279099,161408
TR,Khowai,4559,4500,54,24046,202148,111955
TR,North Tripura,7250,7199,34,100931,283802,190594
TR,Sipahijala,6360,6273,75,53067,330932,211903
TR,South Tripura,10168,10104,53,83030,303987,209259
TR,Unokoti,8609,8530,68,34930,173390,101178
TR,West Tripura,32351,31817,420,202939,676784,470030
UP,Agra,25765,25308,457,491361,2172907,746386
UP,Aligarh,21280,21172,108,482825,1589498,498586
UP,Ambedkar Nagar,5040,4885,152,123151,1135268,349925
UP,Amethi,9972,9828,143,267014,1015454,375261
UP,Amroha,16616,16412,203,254038,871164,265607
UP,Auraiya,10090,9887,203,107079,614711,180775
UP,Ayodhya,16919,16629,290,376735,1270889,418182
UP,Azamgarh,17906,17675,228,12474,2165409,643824
UP,Baghpat,9132,8991,141,327192,692255,337171
UP,Bahraich,11549,11371,178,308225,1752196,642554
UP,Ballia,21610,21376,234,267420,1433455,388341
UP,Balrampur,7494,7354,138,276237,995084,438892
UP,Banda,10992,10832,158,303185,795903,236840
UP,Barabanki,19850,19624,225,147422,1589704,448292
UP,Bareilly,44028,43650,377,465209,2221830,749751
UP,Basti,11717,11385,330,296570,1189235,399451
UP,Bhadohi,7720,7557,163,119023,793094,244431
UP,Bijnor,14794,14668,126,312985,1756682,600482
UP,Budaun,14941,14843,98,224207,1408673,364360
UP,Bulandshahr,20215,19972,243,269090,1647985,646236
UP,Chandauli,16208,15852,356,211249,939599,238646
UP,Chitrakoot,7110,7031,79,234060,447303,129157
UP,Deoria,20223,20003,220,304520,1597034,537293
UP,Etah,9968,9868,99,263295,788675,213371
UP,Etawah,13933,13640,293,297761,708258,253661
UP,Farrukhabad,10348,10153,194,231856,833824,229745
UP,Fatehpur,6814,6674,139,82928,1246314,410120
UP,Firozabad,8720,8585,135,322656,1005224,328351
UP,Gautam Buddha Nagar,63353,62876,467,675396,1799728,974353
UP,Ghaziabad,55673,55207,461,712611,2247039,1071908
UP,Ghazipur,21641,21359,282,265737,1690195,509886
UP,Gonda,12282,12016,266,241234,1604382,555773
UP,Gorakhpur,59439,58588,848,480536,2347051,889085
UP,Hamirpur,5232,5130,102,240382,561456,185949
UP,Hapur,12638,12421,217,299725,658863,254519
UP,Hardoi,13755,13406,349,224784,1852490,537647
UP,Hathras,2920,2877,43,260525,701190,234481
UP,Jalaun,11687,11482,202,221719,819651,251406
UP,Jaunpur,22584,22349,235,322824,2189622,667013
UP,Jhansi,36556,35892,663,312540,1132511,379818
UP,Kannauj,9231,9115,114,124019,755119,257048
UP,Kanpur Dehat,6197,6087,110,344697,923661,290898
UP,Kanpur Nagar,82933,81024,1905,685820,2251558,859280
UP,Kasganj,4250,4197,53,271969,608818,147948
UP,Kaushambi,4424,4353,70,207064,760960,218775
UP,Kushinagar,15617,15389,228,314772,1632782,458054
UP,Lakhimpur Kheri,24410,24117,292,368533,1829019,382178
UP,Lalitpur,12742,12613,128,21781,627553,143519
UP,Lucknow,238839,236165,2651,1237583,3106658,1488333
UP,Maharajganj,12440,12300,140,334716,1283534,372559
UP,Mahoba,4268,4182,86,142992,444352,148388
UP,Mainpuri,10028,9846,182,228496,860461,219990
UP,Mathura,20297,19893,402,198379,1207578,418117
UP,Mau,8333,8252,80,281445,1017497,307052
UP,Meerut,69480,68567,898,798404,1764744,842448
UP,Mirzapur,11088,10972,116,312764,1335308,462157
UP,Moradabad,39102,38752,349,400459,1390249,443211
UP,Muzaffarnagar,31009,30737,269,161704,1264005,467387
UP,Pilibhit,11032,10838,193,291538,978332,256931
UP,Pratapgarh,16038,15875,163,100500,1480021,456869
UP,Prayagraj,78699,77609,1088,729300,2731341,862244
UP,Rae Bareli,17104,16761,343,387408,1436175,344694
UP,Rampur,11826,11676,148,274288,989666,250420
UP,Saharanpur,32730,32309,420,266387,1638111,576986
UP,Sambhal,9438,9331,106,309333,893786,204352
UP,Sant Kabir Nagar,8159,8061,98,292606,799506,195105
UP,Shahjahanpur,20361,19916,444,437195,1743273,538827
UP,Shamli,12976,12931,45,246597,604968,206438
UP,Shrawasti,4388,4353,35,221566,515155,181654
UP,Siddharthnagar,9373,9273,100,295047,1225133,479630
UP,Sitapur,12398,12211,185,289473,2139996,497241
UP,Sonbhadra,16807,16556,251,306175,812891,236871
UP,Sultanpur,14915,14777,138,309395,1178195,370998
UP,Unnao,15011,14757,254,298886,1554190,420513
UP,Varanasi,85501,84528,971,595510,2109381,843905
UT,Almora,12190,11378,196,84443,378242,215715
UT,Bageshwar,5764,5678,60,55626,183447,131244
UT,Chamoli,12242,11972,62,90390,273850,191420
UT,Champawat,7603,7358,53,95068,183354,119870
UT,Dehradun,112363,108137,3521,401496,1465464,793803
UT,Haridwar,51498,49096,1019,369542,1456257,635360
UT,Nainital,39232,38140,944,204422,722854,398680
UT,Pauri Garhwal,17686,16668,315,138878,431320,229262
UT,Pithoragarh,10260,9962,181,72686,318644,183765
UT,Rudraprayag,8800,8535,106,52378,170911,113480
UT,Tehri Garhwal,15835,14827,108,105111,381493,206527
UT,Udham Singh Nagar,37875,36315,761,337292,1277738,518326
UT,Uttarkashi,12548,12129,74,120026,234425,160687
WB,Alipurduar,15589,15441,102,0,949775,353666
WB,Bankura,36313,35839,274,0,2245147,706177
WB,Birbhum,41197,40727,286,0,2152966,846286
WB,Cooch Behar,29275,29060,97,0,1444232,421663
WB,Dakshin Dinajpur,17889,17573,170,0,1063493,363056
WB,Darjeeling,57143,56326,539,0,1324555,664306
WB,Hooghly,86300,84650,990,0,3368156,1343978
WB,Howrah,98757,96567,1524,0,2905925,1254076
WB,Jalpaiguri,41982,41256,572,0,1144138,410719
WB,Jhargram,12135,12063,27,0,714456,211586
WB,Kalimpong,7036,6950,54,0,180713,124420
WB,Kolkata,322541,315146,5152,0,4784084,3039486
WB,Malda,33406,33121,186,0,2029144,590497
WB,Murshidabad,33993,33605,328,0,3952659,976111
WB,Nadia,73333,72054,859,0,2798942,884320
WB,North 24 Parganas,329257,323097,4833,0,6547702,2720315
WB,Other State,66,63,3,0,0,0
WB,Paschim Bardhaman,57778,57184,356,0,1789611,677747
WB,Paschim Medinipur,53581,52820,507,0,2758576,877978
WB,Purba Bardhaman,42005,41588,198,0,2596246,859528
WB,Purba Medinipur,63098,62549,397,0,3560589,1471674
WB,Purulia,19419,19283,113,0,1679941,492310
WB,South 24 Parganas,100957,98950,1336,0,4850898,1832073
WB,Uttar Dinajpur,19858,19559,238,0,1341457,436182
